Module	Section	Sample Name	Source
Salmon	all_sections	WT-unstim-2_R1	/home/rstudio/ARMOR/example_dataset/output/salmon/WT-unstim-2_R1/libParams/flenDist.txt
Salmon	all_sections	WT-unstim-3_R1	/home/rstudio/ARMOR/example_dataset/output/salmon/WT-unstim-3_R1/libParams/flenDist.txt
Salmon	all_sections	WT-Chir-3_R1	/home/rstudio/ARMOR/example_dataset/output/salmon/WT-Chir-3_R1/libParams/flenDist.txt
Salmon	all_sections	WT-Chir-1_R1	/home/rstudio/ARMOR/example_dataset/output/salmon/WT-Chir-1_R1/libParams/flenDist.txt
Salmon	all_sections	WT-unstim-1_R1	/home/rstudio/ARMOR/example_dataset/output/salmon/WT-unstim-1_R1/libParams/flenDist.txt
Salmon	all_sections	WT-Chir-2_R1	/home/rstudio/ARMOR/example_dataset/output/salmon/WT-Chir-2_R1/libParams/flenDist.txt
STAR	SummaryLog	WT-unstim-2_R1	/home/rstudio/ARMOR/example_dataset/output/STAR/WT-unstim-2_R1/WT-unstim-2_R1_Log.final.out
STAR	SummaryLog	WT-unstim-3_R1	/home/rstudio/ARMOR/example_dataset/output/STAR/WT-unstim-3_R1/WT-unstim-3_R1_Log.final.out
STAR	SummaryLog	WT-Chir-3_R1	/home/rstudio/ARMOR/example_dataset/output/STAR/WT-Chir-3_R1/WT-Chir-3_R1_Log.final.out
STAR	SummaryLog	WT-Chir-1_R1	/home/rstudio/ARMOR/example_dataset/output/STAR/WT-Chir-1_R1/WT-Chir-1_R1_Log.final.out
STAR	SummaryLog	WT-unstim-1_R1	/home/rstudio/ARMOR/example_dataset/output/STAR/WT-unstim-1_R1/WT-unstim-1_R1_Log.final.out
STAR	SummaryLog	WT-Chir-2_R1	/home/rstudio/ARMOR/example_dataset/output/STAR/WT-Chir-2_R1/WT-Chir-2_R1_Log.final.out
Cutadapt	all_sections	WT-unstim-2_R1	/home/rstudio/ARMOR/example_dataset/output/FASTQtrimmed/WT-unstim-2_R1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	WT-unstim-3_R1	/home/rstudio/ARMOR/example_dataset/output/FASTQtrimmed/WT-unstim-3_R1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	WT-Chir-2_R1	/home/rstudio/ARMOR/example_dataset/output/FASTQtrimmed/WT-Chir-2_R1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	WT-unstim-1_R1	/home/rstudio/ARMOR/example_dataset/output/FASTQtrimmed/WT-unstim-1_R1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	WT-Chir-1_R1	/home/rstudio/ARMOR/example_dataset/output/FASTQtrimmed/WT-Chir-1_R1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	WT-Chir-3_R1	/home/rstudio/ARMOR/example_dataset/output/FASTQtrimmed/WT-Chir-3_R1.fastq.gz_trimming_report.txt
FastQC	all_sections	WT-unstim-1_R1	/home/rstudio/ARMOR/example_dataset/output/FastQC/WT-unstim-1_R1_trimmed_fastqc.zip
FastQC	all_sections	WT-Chir-3_R1	/home/rstudio/ARMOR/example_dataset/output/FastQC/WT-Chir-3_R1_trimmed_fastqc.zip
FastQC	all_sections	WT-unstim-2_R1	/home/rstudio/ARMOR/example_dataset/output/FastQC/WT-unstim-2_R1_trimmed_fastqc.zip
FastQC	all_sections	WT-unstim-3_R1	/home/rstudio/ARMOR/example_dataset/output/FastQC/WT-unstim-3_R1_trimmed_fastqc.zip
FastQC	all_sections	WT-Chir-2_R1	/home/rstudio/ARMOR/example_dataset/output/FastQC/WT-Chir-2_R1_trimmed_fastqc.zip
FastQC	all_sections	WT-Chir-1_R1	/home/rstudio/ARMOR/example_dataset/output/FastQC/WT-Chir-1_R1_trimmed_fastqc.zip
