gene_id	lr	df	pvalue	adj_pvalue	mlog10PValue
ENSG00000100296	44.9	5	1.49e-08	1.54e-06	7.83
ENSG00000131100	9.52	1	0.00203	0.0814	2.69
ENSG00000196419	9.24	1	0.00237	0.0814	2.62
ENSG00000093009	10.3	2	0.00583	0.15	2.23
ENSG00000075218	6.71	1	0.00961	0.198	2.02
ENSG00000213923	17.1	7	0.0166	0.285	1.78
ENSG00000100225	5.31	1	0.0212	0.312	1.67
ENSG00000099991	12.9	5	0.0243	0.313	1.61
ENSG00000184708	8.33	3	0.0397	0.455	1.4
ENSG00000100258	7.65	3	0.0539	0.528	1.27
ENSG00000100239	7.4	3	0.0602	0.528	1.22
ENSG00000093000	5.51	2	0.0637	0.528	1.2
ENSG00000100288	3.19	1	0.0741	0.528	1.13
ENSG00000077942	9.97	5	0.076	0.528	1.12
ENSG00000198911	3.06	1	0.0802	0.528	1.1
ENSG00000186716	4.89	2	0.0869	0.528	1.06
ENSG00000184702	4.88	2	0.0872	0.528	1.06
ENSG00000100201	6.13	3	0.105	0.547	0.977
ENSG00000100294	2.61	1	0.106	0.547	0.974
ENSG00000100364	2.61	1	0.106	0.547	0.975
ENSG00000100297	2.5	1	0.114	0.558	0.944
ENSG00000070371	2.29	1	0.131	0.611	0.884
ENSG00000099904	1.97	1	0.16	0.717	0.796
ENSG00000184470	5.02	3	0.171	0.733	0.768
ENSG00000274602	3.32	2	0.19	0.782	0.722
ENSG00000025770	2.99	2	0.224	0.857	0.65
ENSG00000100154	2.93	2	0.231	0.857	0.637
ENSG00000093010	2.91	2	0.233	0.857	0.633
ENSG00000099992	2.73	2	0.256	0.887	0.592
ENSG00000138867	6.46	5	0.264	0.887	0.579
ENSG00000100266	1.23	1	0.267	0.887	0.574
ENSG00000185721	1.13	1	0.287	0.887	0.542
ENSG00000100139	1.12	1	0.29	0.887	0.537
ENSG00000099901	3.72	3	0.293	0.887	0.533
ENSG00000099899	10.6	9	0.304	0.895	0.517
ENSG00000243156	5.82	5	0.324	0.927	0.489
ENSG00000100142	0.876	1	0.349	0.972	0.457
ENSG00000196588	0.731	1	0.393	0.994	0.406
ENSG00000099949	11.6	11	0.395	0.994	0.403
ENSG00000075275	1.8	2	0.407	0.994	0.39
ENSG00000100325	2.88	3	0.41	0.994	0.387
ENSG00000100038	2.84	3	0.417	0.994	0.379
ENSG00000284128	0.641	1	0.423	0.994	0.373
ENSG00000183506	3.6	4	0.462	0.994	0.335
ENSG00000100092	2.48	3	0.48	0.994	0.319
ENSG00000250479	0.465	1	0.495	0.994	0.305
ENSG00000079974	0.441	1	0.507	0.994	0.295
ENSG00000100242	3.18	4	0.527	0.994	0.278
ENSG00000075234	0.395	1	0.53	0.994	0.276
ENSG00000100360	0.387	1	0.534	0.994	0.273
ENSG00000183762	0.383	1	0.536	0.994	0.271
ENSG00000239900	4.06	5	0.541	0.994	0.267
ENSG00000184164	0.365	1	0.546	0.994	0.263
ENSG00000272578	1.2	2	0.55	0.994	0.26
ENSG00000186575	1.96	3	0.582	0.994	0.235
ENSG00000185252	0.288	1	0.592	0.994	0.228
ENSG00000070413	0.284	1	0.594	0.994	0.226
ENSG00000183765	1.04	2	0.595	0.994	0.225
ENSG00000133422	1.88	3	0.598	0.994	0.224
ENSG00000100058	1.86	3	0.603	0.994	0.22
ENSG00000100429	0.979	2	0.613	0.994	0.213
ENSG00000100316	4.36	6	0.628	0.994	0.202
ENSG00000188130	0.904	2	0.636	0.994	0.196
ENSG00000198089	6.97	9	0.64	0.994	0.194
ENSG00000241973	4.25	6	0.643	0.994	0.192
ENSG00000099995	1.65	3	0.648	0.994	0.189
ENSG00000130638	1.63	3	0.653	0.994	0.185
ENSG00000100029	0.843	2	0.656	0.994	0.183
ENSG00000100412	1.55	3	0.671	1	0.173
ENSG00000100280	0.713	2	0.7	1	0.155
ENSG00000196576	4.64	7	0.704	1	0.152
ENSG00000100129	0.682	2	0.711	1	0.148
ENSG00000100124	0.676	2	0.713	1	0.147
ENSG00000100226	0.628	2	0.731	1	0.136
ENSG00000099956	2.78	5	0.734	1	0.134
ENSG00000100416	1.95	4	0.745	1	0.128
ENSG00000100393	4.26	7	0.749	1	0.125
ENSG00000100425	1.14	3	0.766	1	0.116
ENSG00000184058	0.0832	1	0.773	1	0.112
ENSG00000254413	0.0789	1	0.779	1	0.109
ENSG00000128191	0.993	3	0.803	1	0.0953
ENSG00000100353	0.0553	1	0.814	1	0.0893
ENSG00000100083	0.905	3	0.824	1	0.0839
ENSG00000205560	0.868	3	0.833	1	0.0793
ENSG00000100109	0.847	3	0.838	1	0.0766
ENSG00000183530	0.829	3	0.843	1	0.0744
ENSG00000100320	0.0366	1	0.848	1	0.0714
ENSG00000183597	0.0299	1	0.863	1	0.0641
ENSG00000197077	0.266	2	0.875	1	0.0578
ENSG00000198792	0.0124	1	0.911	1	0.0403
ENSG00000128159	0.498	3	0.919	1	0.0365
ENSG00000100359	3.18	8	0.923	1	0.0349
ENSG00000182858	0.00772	1	0.93	1	0.0315
ENSG00000099917	0.852	4	0.931	1	0.0309
ENSG00000183963	0.00492	1	0.944	1	0.025
ENSG00000100241	0.00459	1	0.946	1	0.0241
ENSG00000100150	1.04	5	0.959	1	0.0182
ENSG00000100099	0.424	4	0.98	1	0.00856
ENSG00000182944	0.0394	2	0.98	1	0.00855
ENSG00000133424	0.112	3	0.99	1	0.00423
ENSG00000100401	-0.755	1	1	1	0
ENSG00000184571	-9.09e-13	1	1	1	0
ENSG00000186998	-0.366	2	1	1	0
