GeneSet	NGenes	Correlation	Direction	PValue	FDR
GO_NEUROGENESIS	17	0.0022162005539253	Down	0.0245383551683424	0.899257962917234
GO_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	9	-0.0177762873997561	Down	0.0306612902393216	0.899257962917234
GO_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY	3	0.282213954182167	Down	0.0331814293182302	0.899257962917234
GO_INFLAMMATORY_RESPONSE	6	-0.113466158303142	Up	0.0428301062851691	0.899257962917234
GO_PROTEIN_HOMOOLIGOMERIZATION	6	-0.0864347548096379	Up	0.0466504070422573	0.899257962917234
GO_PROTEIN_COMPLEX_OLIGOMERIZATION	10	-0.0375393790998371	Up	0.048152654084004	0.899257962917234
GO_NEURON_DEVELOPMENT	10	-0.084814352905778	Down	0.0483919660028753	0.899257962917234
GO_REGULATION_OF_LIPID_METABOLIC_PROCESS	3	-0.0674447737060164	Down	0.04900537110652	0.899257962917234
GO_NEGATIVE_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY	3	-0.289896915110985	Up	0.0505772357716942	0.899257962917234
GO_REGULATION_OF_HEMOPOIESIS	5	-0.127765678195386	Down	0.0516481528504949	0.899257962917234
GO_COFACTOR_CATABOLIC_PROCESS	3	-0.321165786689121	Up	0.0521964174863501	0.899257962917234
GO_COFACTOR_METABOLIC_PROCESS	3	-0.321165786689121	Up	0.0521964174863501	0.899257962917234
GO_RESPONSE_TO_CYTOKINE	5	-0.112696316731502	Up	0.052284865864172	0.899257962917234
GO_GLAND_DEVELOPMENT	4	-0.083852690948035	Up	0.0542584295384685	0.899257962917234
GO_RESPONSE_TO_INORGANIC_SUBSTANCE	4	-0.173763208519268	Up	0.0549285976874449	0.899257962917234
GO_CYTOKINE_PRODUCTION	6	-0.000864660078269175	Up	0.0570480380664151	0.899257962917234
GO_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	6	-0.000864660078269175	Up	0.0570480380664151	0.899257962917234
GO_BEHAVIOR	6	-0.00390169663266271	Down	0.0588566120506389	0.899257962917234
GO_ACTIVATION_OF_IMMUNE_RESPONSE	4	0.147323982485977	Down	0.0617088128744762	0.899257962917234
GO_RESPONSE_TO_TOXIC_SUBSTANCE	3	-0.177043081785858	Up	0.0618159514464922	0.899257962917234
GO_NEURON_APOPTOTIC_PROCESS	3	-0.188750775732632	Up	0.0623267715309239	0.899257962917234
GO_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	4	0.0591366209296213	Up	0.0630254844187359	0.899257962917234
GO_CELL_CELL_SIGNALING_BY_WNT	4	-0.085100753230983	Down	0.0643017703814116	0.899257962917234
GO_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_CELL_CELL_SIGNALING	4	-0.085100753230983	Down	0.0643017703814116	0.899257962917234
GO_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	7	-0.115345712861762	Up	0.0656097474737615	0.899257962917234
GO_LEUKOCYTE_MEDIATED_IMMUNITY	7	-0.115345712861762	Up	0.0656097474737615	0.899257962917234
GO_MYELOID_LEUKOCYTE_ACTIVATION	7	-0.115345712861762	Up	0.0656097474737615	0.899257962917234
GO_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY	7	-0.115345712861762	Up	0.0656097474737615	0.899257962917234
GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_MIGRATION	3	-0.086584972896375	Up	0.0666502881620569	0.899257962917234
