seqnames	start	end	width	strand	gene_id	gene_name	entrezid	gene_biotype	seq_coord_system	symbol	logFC	logCPM	F	PValue	FDR	mlog10PValue
22	35400000	35400000	13800	+	ENSG00000100292	HMOX1	NA	protein_coding	NA	HMOX1	1.21	11.5	31.1	0.000157	0.0255	3.8
22	38700000	38800000	59400	-	ENSG00000100242	SUN2	NA	protein_coding	NA	SUN2	-0.778	12.3	26.7	0.000295	0.0255	3.53
22	3.8e+07	3.8e+07	89300	+	ENSG00000100142	POLR2F	NA	protein_coding	NA	POLR2F	1.23	12.4	19.5	0.001	0.0578	3
22	38100000	38200000	103000	-	ENSG00000184381	PLA2G6	NA	protein_coding	NA	PLA2G6	-1.61	9.67	17.7	0.00143	0.0617	2.85
22	41100000	41200000	87500	+	ENSG00000100393	EP300	NA	protein_coding	NA	EP300	-0.488	13.6	16.2	0.00195	0.0623	2.71
22	46400000	46500000	176000	-	ENSG00000075275	CELSR1	NA	protein_coding	NA	CELSR1	-1	10.2	15.1	0.00248	0.0623	2.61
22	2.4e+07	24200000	167000	+	ENSG00000099991	CABIN1	NA	protein_coding	NA	CABIN1	-0.492	13	14.8	0.00263	0.0623	2.58
22	23700000	23700000	59300	-	ENSG00000272578	AP000347.1	NA	transcribed_unprocessed_pseudogene	NA	AP000347.1	0.902	10.5	14.4	0.00288	0.0623	2.54
22	46300000	46300000	26000	+	ENSG00000075234	TTC38	NA	protein_coding	NA	TTC38	0.624	11.5	13.7	0.00343	0.0659	2.47
22	19700000	19700000	9720	+	ENSG00000184702	SEPTIN5	NA	protein_coding	NA	SEPTIN5	-0.802	11.1	12.6	0.00449	0.0776	2.35
22	40800000	40900000	32100	-	ENSG00000100380	ST13	NA	protein_coding	NA	ST13	0.942	12	11.3	0.00627	0.0958	2.2
22	24600000	24600000	73000	+	ENSG00000286070	GGT1	NA	protein_coding	NA	GGT1	0.96	11.3	11.1	0.00664	0.0958	2.18
22	31700000	31800000	73900	-	ENSG00000183530	PRR14L	NA	protein_coding	NA	PRR14L	-0.425	12.1	9.06	0.0117	0.156	1.93
22	28700000	28800000	15500	+	ENSG00000100209	HSCB	NA	protein_coding	NA	HSCB	1.4	9.25	8.75	0.0128	0.159	1.89
22	50600000	50600000	5420	-	ENSG00000100299	ARSA	NA	protein_coding	NA	ARSA	1.04	9.55	8.52	0.0138	0.159	1.86
22	41800000	41900000	74200	+	ENSG00000198911	SREBF2	NA	protein_coding	NA	SREBF2	-0.407	12.3	8.27	0.0149	0.161	1.83
22	25400000	25500000	72800	+	ENSG00000100058	CRYBB2P1	NA	transcribed_unprocessed_pseudogene	NA	CRYBB2P1	0.353	12.3	6.65	0.0254	0.254	1.59
